line 1 19 columns: 		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
line 531 19 columns: 	530	530	530	त्रिंशत्यधिकपञ्चशत			त्रिंशत्यधिकपञ्चशतम्					त्रिंशत्यधिकपञ्चशततम	त्रिंशत्यधिकपञ्चशततमः	त्रिंशत्यधिकपञ्चशततमी	त्रिंशत्यधिकपञ्चशततमम्			
line 532 19 columns: 	531	531	531	एकत्रिंशत्यधिकपञ्चशत			एकत्रिंशत्यधिकपञ्चशतम्					एकत्रिंशत्यधिकपञ्चशततम	एकत्रिंशत्यधिकपञ्चशततमः	एकत्रिंशत्यधिकपञ्चशततमी	एकत्रिंशत्यधिकपञ्चशततमम्			
line 533 19 columns: *	532*	532	532	द्वात्रिंशत्यधिकपञ्चशत			द्वात्रिंशत्यधिकपञ्चशतम्					द्वात्रिंशत्यधिकपञ्चशततम	द्वात्रिंशत्यधिकपञ्चशततमः	द्वात्रिंशत्यधिकपञ्चशततमी	द्वात्रिंशत्यधिकपञ्चशततमम्			
line 534 19 columns: *	533*	533	533	त्रयस्त्रिंशत्यधिकपञ्चशत			त्रयस्त्रिंशत्यधिकपञ्चशतम्					त्रयस्त्रिंशत्यधिकपञ्चशततम	त्रयस्त्रिंशत्यधिकपञ्चशततमः	त्रयस्त्रिंशत्यधिकपञ्चशततमी	त्रयस्त्रिंशत्यधिकपञ्चशततमम्			
line 535 19 columns: 	534	534	534	चतुस्त्रिंशत्यधिकपञ्चशत			चतुस्त्रिंशत्यधिकपञ्चशतम्					चतुस्त्रिंशत्यधिकपञ्चशततम	चतुस्त्रिंशत्यधिकपञ्चशततमः	चतुस्त्रिंशत्यधिकपञ्चशततमी	चतुस्त्रिंशत्यधिकपञ्चशततमम्			
line 536 19 columns: 	535	535	535	पञ्चत्रिंशत्यधिकपञ्चशत			पञ्चत्रिंशत्यधिकपञ्चशतम्					पञ्चत्रिंशत्यधिकपञ्चशततम	पञ्चत्रिंशत्यधिकपञ्चशततमः	पञ्चत्रिंशत्यधिकपञ्चशततमी	पञ्चत्रिंशत्यधिकपञ्चशततमम्			
line 537 19 columns: 	536	536	536	षट्त्रिंशत्यधिकपञ्चशत			षट्त्रिंशत्यधिकपञ्चशतम्					षट्त्रिंशत्यधिकपञ्चशततम	षट्त्रिंशत्यधिकपञ्चशततमः	षट्त्रिंशत्यधिकपञ्चशततमी	षट्त्रिंशत्यधिकपञ्चशततमम्			
line 538 19 columns: 	537	537	537	सप्तत्रिंशत्यधिकपञ्चशत			सप्तत्रिंशत्यधिकपञ्चशतम्					सप्तत्रिंशत्यधिकपञ्चशततम	सप्तत्रिंशत्यधिकपञ्चशततमः	सप्तत्रिंशत्यधिकपञ्चशततमी	सप्तत्रिंशत्यधिकपञ्चशततमम्			
line 539 19 columns: *	538*	538	538	अष्टात्रिंशत्यधिकपञ्चशत			अष्टात्रिंशत्यधिकपञ्चशतम्					अष्टात्रिंशत्यधिकपञ्चशततम	अष्टात्रिंशत्यधिकपञ्चशततमः	अष्टात्रिंशत्यधिकपञ्चशततमी	अष्टात्रिंशत्यधिकपञ्चशततमम्			
line 540 19 columns: *	539*	539	539	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशत			ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशतम्					ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशततम	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशततमः	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशततमी	ऊन/एकोन/एकान्न/एकाद्नचत्वारिंशत्यधिकपञ्चशततमम्			
line 541 19 columns: 	540	540	540	चत्वारिंशत्यधिकपञ्चशत			चत्वारिंशत्यधिकपञ्चशतम्					चत्वारिंशत्यधिकपञ्चशततम	चत्वारिंशत्यधिकपञ्चशततमः	चत्वारिंशत्यधिकपञ्चशततमी	चत्वारिंशत्यधिकपञ्चशततमम्			
line 542 19 columns: 	541	541	541	एकचत्वारिंशत्यधिकपञ्चशत			एकचत्वारिंशत्यधिकपञ्चशतम्					एकचत्वारिंशत्यधिकपञ्चशततम	एकचत्वारिंशत्यधिकपञ्चशततमः	एकचत्वारिंशत्यधिकपञ्चशततमी	एकचत्वारिंशत्यधिकपञ्चशततमम्			
line 543 19 columns: *	542*	542	542	द्वि/द्वाचत्वारिंशत्यधिकपञ्चशत			द्वि/द्वाचत्वारिंशत्यधिकपञ्चशतम्					द्वि/द्वाचत्वारिंशत्यधिकपञ्चशततम	द्वि/द्वाचत्वारिंशत्यधिकपञ्चशततमः	द्वि/द्वाचत्वारिंशत्यधिकपञ्चशततमी	द्वि/द्वाचत्वारिंशत्यधिकपञ्चशततमम्			
